score,score_num,movie_name,ranking
8.4,0,英国病人,205
8.3,0,源代码,206
8.5,0,E.T. 外星人,207
8.4,0,新龙门客栈,208
9.1,0,黄金三镖客,209
8.4,0,发条橙,210
8.5,0,黑客帝国3：矩阵革命,211
8.6,0,叫我第一名,212
8.4,0,美国丽人,213
9.2,0,城市之光,214
8.3,0,穆赫兰道,215
8.6,0,非常嫌疑犯,216
8.4,0,无耻混蛋,217
8.3,0,初恋这件小事,218
8.9,0,勇士,219
8.6,0,上帝也疯狂,220
8.5,0,模仿游戏,221
8.3,0,蓝色大门,222
9.0,0,爱·回家,223
8.6,0,无敌破坏王,224
8.7,0,大卫·戈尔的一生,225
8.5,0,血钻,226
8.8,0,爱在午夜降临前,227
8.3,0,曾经,228
8.3,0,国王的演讲,229
8.5,0,麦兜故事,230
8.6,0,枪火,231
8.4,0,暖暖内含光,232
8.2,0,疯狂的石头,233
8.5,0,遗愿清单,234
8.6,0,蝴蝶,235
8.7,0,千钧一发,236
8.6,0,巴黎淘气帮,237
8.4,0,荒岛余生,238
8.9,0,与狼共舞,239
8.8,0,房间,240
8.5,0,偷拐抢骗,241
8.5,0,月球,242
8.7,0,头脑特工队,243
9.0,0,我爱你,244
8.3,0,夜访吸血鬼,245
8.8,0,寿司之神,246
8.4,0,彗星来的那一夜,247
8.6,0,廊桥遗梦,248
8.3,0,爱在暹罗,249
8.7,0,中央车站,250
score,score_num,ranking,movie_name
9.6,874479,1,肖申克的救赎
9.5,628755,2,霸王别姬
9.4,836245,3,这个杀手不太冷
9.4,712824,4,阿甘正传
9.5,415866,5,美丽人生
9.2,664068,6,千与千寻
9.4,383377,7,辛德勒的名单
9.2,655354,8,泰坦尼克号
9.2,764394,9,盗梦空间
9.3,499711,10,机器人总动员
9.2,600175,11,海上钢琴师
9.1,675181,12,三傻大闹宝莱坞
9.2,456233,13,忠犬八公的故事
9.2,453333,14,放牛班的春天
9.2,489160,15,大话西游之大圣娶亲
9.1,419254,16,龙猫
9.2,344333,17,教父
9.1,455290,18,楚门的世界
9.2,271775,19,乱世佳人
9.1,310123,20,天堂电影院
9.1,366630,21,触不可及
8.9,539539,22,当幸福来敲门
9.2,252671,23,熔炉
9.0,399470,24,无间道
9.0,404664,25,搏击俱乐部
9.4,171384,26,十二怒汉
8.9,546580,27,怦然心动
9.1,284819,28,指环王3：王者无敌
9.1,484101,29,星际穿越
9.0,578806,30,少年派的奇幻漂流
9.0,332355,31,天空之城
9.2,227853,32,鬼子来了
8.9,385429,33,罗马假日
9.0,319399,34,蝙蝠侠：黑暗骑士
8.9,395518,35,大话西游之月光宝盒
9.1,265708,36,活着
9.0,272938,37,两杆大烟枪
8.9,496733,38,飞屋环游记
9.1,221657,39,窃听风暴
9.0,276800,40,飞越疯人院
9.3,181208,41,海豚湾
8.9,319841,42,闻香识女人
8.8,412957,43,V字仇杀队
8.9,346172,44,哈尔的移动城堡
9.1,185352,45,教父2
8.9,302816,46,美丽心灵
8.9,268763,47,指环王2：双塔奇兵
8.9,300232,48,指环王1：魔戒再现
8.9,274628,49,死亡诗社
8.8,371079,50,情书
9.6,84520,51,控方证人
8.7,478457,52,天使爱美丽
9.1,172794,53,美国往事
9.1,197588,54,辩护人
9.0,200938,55,钢琴家
9.0,193227,56,饮食男女
8.7,431048,57,七宗罪
8.9,278129,58,狮子王
8.9,277214,59,被嫌弃的松子的一生
8.8,338034,60,致命魔术
9.2,134509,61,小鞋子
8.8,292691,62,勇敢的心
8.7,478022,63,剪刀手爱德华
8.9,228983,64,音乐之声
9.2,485626,65,疯狂动物城
8.7,328961,66,低俗小说
9.1,172219,67,素媛
8.7,387418,68,本杰明·巴顿奇事
8.8,315188,69,入殓师
8.7,347579,70,沉默的羔羊
8.8,275574,71,黑客帝国
8.8,232531,72,拯救大兵瑞恩
8.7,375182,73,蝴蝶效应
8.7,339939,74,西西里的美丽传说
8.9,230036,75,玛丽和马克思
8.7,264982,76,心灵捕手
8.8,239907,77,春光乍泄
8.8,230159,78,幽灵公主
8.7,610987,79,让子弹飞
8.8,230004,80,第六感
8.7,264673,81,阳光灿烂的日子
9.2,95395,82,大闹天宫
8.7,247139,83,大鱼
8.6,321578,84,重庆森林
8.7,269726,85,射雕英雄传之东成西就
8.6,350091,86,禁闭岛
8.7,227876,87,甜蜜蜜
8.9,155317,88,上帝之城
8.8,262342,89,阳光姐妹淘
8.6,310349,90,致命ID
8.9,151690,91,一一
8.7,333568,92,告白
